------------------------------------------------------------------------------------------------------------------------------
           Observed  |             Ritz    |     Aki    | Acc. |                  Ei           Ek                  | Configurations  |    Terms   |Type|
          Wavelength |          Wavelength |     s^-1   |      |                 (eV)         (eV)                 |                 |            |    |
           Vac  (Å)  |           Vac  (Å)  |            |      |                                                   |                 |            |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------
                     |       8779.134606   |  2.4066e 05| AAA  |    23.0070747295        -     24.419334550736     |  1s.3p - 1s.9d  |  3P* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |       8779.135853   |  4.3316e 05| AAA  |    23.0070747295        -     24.419334350260     |  1s.3p - 1s.9d  |  3P* - 3D  |    |
                     |       8779.343206   |  3.2088e 05| AAA  |    23.0071082852        -     24.419334550736     |  1s.3p - 1s.9d  |  3P* - 3D  |    |
                     |       8851.574265   |  2.1321e 05| AAA  |    23.0070720049        -     24.40777415089      |  1s.3p - 1s.9s  |  3P* - 3S  |    |
                     |       8851.591483   |  1.2792e 05| AAA  |    23.0070747295        -     24.40777415089      |  1s.3p - 1s.9s  |  3P* - 3S  |    |
                     |       8851.803540   |  4.2641e 04| AAA  |    23.0071082852        -     24.40777415089      |  1s.3p - 1s.9s  |  3P* - 3S  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |       8866.095062   |  1.442e 00 | AA   |    19.81961358228       -     21.2180216732       |  1s.2s - 1s.2p  |  3S  - 1P* |    |
                     |       8917.21930    |  3.8260e 05| AAA  |    22.920316225         -     24.31070695665      |  1s.3s - 1s.7p  |  1S  - 1P* |    |
                     |       8999.4359161  |  8.857e 03 | AA   |    23.07364956332       -     24.4513380300064    |  1s.3d - 1s.10f |  3D  - 1F* |    |
                     |       8999.4366448  |  1.6007e 03| AAA  |    23.07364956332       -     24.4513379184654    |  1s.3d - 1s.10f |  3D  - 3F* |    |
                     |       8999.4370910  |  3.6017e 05| AAA  |    23.07364956332       -     24.4513378501668    |  1s.3d - 1s.10f |  3D  - 3F* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |       8999.4373291  |  3.1161e 04| AAA  |    23.07364956332       -     24.4513378137089    |  1s.3d - 1s.10f |  3D  - 3F* |    |
                     |       8999.4379510  |  6.651e 04 | AA   |    23.07364987482       -     24.4513380300064    |  1s.3d - 1s.10f |  3D  - 1F* |    |
                     |       8999.4386796  |  5.6012e 04| AAA  |    23.07364987482       -     24.4513379184654    |  1s.3d - 1s.10f |  3D  - 3F* |    |
                     |       8999.4393639  |  2.5364e 05| AAA  |    23.07364987482       -     24.4513378137089    |  1s.3d - 1s.10f |  3D  - 3F* |    |
                     |       8999.4744783  |  3.0254e 05| AAA  |    23.07365535507       -     24.4513379184654    |  1s.3d - 1s.10f |  3D  - 3F* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |       8999.9904826  |  1.2389e 04| AAA  |    23.07407365281       -     24.45167722834      |  1s.3d - 1s.10p |  1D  - 1P* |    |
                     |       9002.2070371  |  2.8406e 05| AAA  |    23.07407365281       -     24.4513380300064    |  1s.3d - 1s.10f |  1D  - 1F* |    |
                     |       9002.2084509  |  7.516e 04 | AA   |    23.07407365281       -     24.4513378137089    |  1s.3d - 1s.10f |  1D  - 3F* |    |
                     |       9011.6178855  |  2.2323e 04| AAA  |    23.07364956332       -     24.44947566090      |  1s.3d - 1s.10p |  3D  - 3P* |    |
                     |       9011.6194824  |  1.9927e 04| AAA  |    23.07364987482       -     24.44947572861      |  1s.3d - 1s.10p |  3D  - 3P* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |       9011.6199258  |  3.9853e 03| AAA  |    23.07364987482       -     24.44947566090      |  1s.3d - 1s.10p |  3D  - 3P* |    |
                     |       9011.6499261  |  2.6575e 04| AAA  |    23.07365535507       -     24.44947656095      |  1s.3d - 1s.10p |  3D  - 3P* |    |
                     |       9011.6553780  |  6.6439e 03| AAA  |    23.07365535507       -     24.44947572861      |  1s.3d - 1s.10p |  3D  - 3P* |    |
                     |       9011.6558214  |  2.6575e 02| AAA  |    23.07365535507       -     24.44947566090      |  1s.3d - 1s.10p |  3D  - 3P* |    |
                     |       9065.769928   |  2.2973e 04| AAA  |    23.0070720049        -     24.374679959533     |  1s.3p - 1s.8d  |  3P* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |       9065.771820   |  2.0674e 05| AAA  |    23.0070720049        -     24.374679673987     |  1s.3p - 1s.8d  |  3P* - 3D  |    |
                     |       9065.771954   |  8.2704e 05| AAA  |    23.0070720049        -     24.374679653829     |  1s.3p - 1s.8d  |  3P* - 3D  |    |
                     |       9065.787989   |  3.4460e 05| AAA  |    23.0070747295        -     24.374679959533     |  1s.3p - 1s.8d  |  3P* - 3D  |    |
                     |       9065.789882   |  6.2023e 05| AAA  |    23.0070747295        -     24.374679673987     |  1s.3p - 1s.8d  |  3P* - 3D  |    |
                     |       9066.010433   |  4.5947e 05| AAA  |    23.0071082852        -     24.374679959533     |  1s.3p - 1s.8d  |  3P* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |       9087.914557   |  3.6807e 05| AAA  |    23.0870173854        -     24.4512928734042    |  1s.3p - 1s.10d |  1P* - 1D  |    |
                     |       9113.526714   |  2.2000e 05| AAA  |    23.0870173854        -     24.44745878833      |  1s.3p - 1s.10s |  1P* - 1S  |    |
                     |       9177.006195   |  3.1109e 05| AAA  |    23.0070720049        -     24.35810291895      |  1s.3p - 1s.8s  |  3P* - 3S  |    |
                     |       9177.024702   |  1.8665e 05| AAA  |    23.0070747295        -     24.35810291895      |  1s.3p - 1s.8s  |  3P* - 3S  |    |
                     |       9177.252639   |  6.2217e 04| AAA  |    23.0071082852        -     24.35810291895      |  1s.3p - 1s.8s  |  3P* - 3S  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |       9212.5769857  |  1.7331e 04| AAA  |    23.07407365281       -     24.41988808530      |  1s.3d - 1s.9p  |  1D  - 1P* |    |
                     |       9212.8527555  |  1.289e 04 | AA   |    23.07364956332       -     24.4194237113336    |  1s.3d - 1s.9f  |  3D  - 1F* |    |
                     |       9212.8548879  |  9.691e 04 | AA   |    23.07364987482       -     24.4194237113336    |  1s.3d - 1s.9f  |  3D  - 1F* |    |
       9212.865      |       9212.8537760  |  2.2685e 03| AAA  |    23.07364956332       -     24.4194235622586    |  1s.3d - 1s.9f  |  3D  - 3F* |    |
       9212.865      |       9212.8544174  |  5.1041e 05| AAA  |    23.07364956332       -     24.4194234685641    |  1s.3d - 1s.9f  |  3D  - 3F* |    |
                     |                     |            |      |                                                   |                 |            |    |
       9212.865      |       9212.8547675  |  4.3822e 04| AAA  |    23.07364956332       -     24.4194234174167    |  1s.3d - 1s.9f  |  3D  - 3F* |    |
       9212.865      |       9212.8559084  |  7.9378e 04| AAA  |    23.07364987482       -     24.4194235622586    |  1s.3d - 1s.9f  |  3D  - 3F* |    |
       9212.865      |       9212.8569000  |  3.5681e 05| AAA  |    23.07364987482       -     24.4194234174167    |  1s.3d - 1s.9f  |  3D  - 3F* |    |
       9212.865      |       9212.8934252  |  4.2875e 05| AAA  |    23.07365535507       -     24.4194235622586    |  1s.3d - 1s.9f  |  3D  - 3F* |    |
                     |       9215.7568874  |  3.9961e 05| AAA  |    23.07407365281       -     24.4194237113336    |  1s.3d - 1s.9f  |  1D  - 1F* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |       9215.7589008  |  1.095e 05 | AA   |    23.07407365281       -     24.4194234174167    |  1s.3d - 1s.9f  |  1D  - 3F* |    |
                     |       9230.3841983  |  3.1223e 04| AAA  |    23.07364956332       -     24.41686765711      |  1s.3d - 1s.9p  |  3D  - 3P* |    |
                     |       9230.3856982  |  2.7871e 04| AAA  |    23.07364987482       -     24.41686775032      |  1s.3d - 1s.9p  |  3D  - 3P* |    |
                     |       9230.3863388  |  5.5742e 03| AAA  |    23.07364987482       -     24.41686765711      |  1s.3d - 1s.9p  |  3D  - 3P* |    |
                     |       9230.4154870  |  3.7170e 04| AAA  |    23.07365535507       -     24.41686889570      |  1s.3d - 1s.9p  |  3D  - 3P* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |       9230.4233579  |  9.2925e 03| AAA  |    23.07365535507       -     24.41686775032      |  1s.3d - 1s.9p  |  3D  - 3P* |    |
                     |       9230.4239985  |  3.7170e 02| AAA  |    23.07365535507       -     24.41686765711      |  1s.3d - 1s.9p  |  3D  - 3P* |    |
                     |       9305.715633   |  5.1030e 05| AAA  |    23.0870173854        -     24.419361888242     |  1s.3p - 1s.9d  |  1P* - 1D  |    |
                     |       9342.705419   |  3.0562e 05| AAA  |    23.0870173854        -     24.41408684884      |  1s.3p - 1s.9s  |  1P* - 1S  |    |
                     |       9466.13296    |  5.6868e 05| AAA  |    22.718465298         -     24.0282312948       |  1s.3s - 1s.5p  |  3S  - 3P* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |       9466.18265    |  5.6868e 05| AAA  |    22.718465298         -     24.0282244205       |  1s.3s - 1s.5p  |  3S  - 3P* |    |
                     |       9466.18670    |  5.6868e 05| AAA  |    22.718465298         -     24.0282238597       |  1s.3s - 1s.5p  |  3S  - 3P* |    |
                     |       9519.172726   |  3.4553e 04| AAA  |    23.0070720049        -     24.309540131498     |  1s.3p - 1s.7d  |  3P* - 3D  |    |
                     |       9519.175842   |  3.1095e 05| AAA  |    23.0070720049        -     24.309539705033     |  1s.3p - 1s.7d  |  3P* - 3D  |    |
                     |       9519.176060   |  1.2439e 06| AAA  |    23.0070720049        -     24.309539675152     |  1s.3p - 1s.7d  |  3P* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |       9519.192639   |  5.1829e 05| AAA  |    23.0070747295        -     24.309540131498     |  1s.3p - 1s.7d  |  3P* - 3D  |    |
                     |       9519.195756   |  9.3285e 05| AAA  |    23.0070747295        -     24.309539705033     |  1s.3p - 1s.7d  |  3P* - 3D  |    |
                     |       9519.437889   |  6.9105e 05| AAA  |    23.0071082852        -     24.309540131498     |  1s.3p - 1s.7d  |  3P* - 3D  |    |
                     |       9527.0455002  |  2.5364e 04| AAA  |    23.07407365281       -     24.37546547115      |  1s.3d - 1s.8p  |  1D  - 1P* |    |
                     |       9528.7681985  |  1.994e 04 | AA   |    23.07364956332       -     24.3748061040817    |  1s.3d - 1s.8f  |  3D  - 1F* |    |
                     |                     |            |      |                                                   |                 |            |    |
